nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name
1,350559457,4767439021687332096,car,45,98,SPOC-120,TIC-350559457-98-SPOC-120
6,408134420,3387055125667571968,thor,2,98,FFI-200s,TIC-408134420-98-FFI-200s
7,284905551,3338707537810168448,thor,2,98,FFI-200s,TIC-284905551-98-FFI-200s
8,373494637,3386885525999518976,thor,3,98,SPOC-120,TIC-373494637-98-SPOC-120
9,449260853,3237508762467678336,thor,2,98,SPOC-120,TIC-449260853-98-SPOC-120
10,24604498,3209175447332278144,thor,3,98,SPOC-120,TIC-24604498-98-SPOC-120
11,158817023,3319628434087776000,thor,3,98,SPOC-120,TIC-158817023-98-SPOC-120
12,345772521,32410488806715098,thor,3,98,FFI-200s,TIC-345772521-98-FFI-200s
13,311272948,3339253170454118272,thor,4,98,FFI-200s,TIC-311272948-98-FFI-200s
14,200001428,3320524914022156288,thor,2,98,SPOC-120,TIC-200001428-98-SPOC-120
15,345773622,3238048652740273408,thor,3,98,FFI-200s,TIC-345773622-98-FFI-200s
16,389248164,3341538436653898240,thor,7,98,FFI-200s,TIC-389248164-98-FFI-200s
17,264461317,3221837251438378624,thor,3,98,FFI-200s,TIC-264461317-98-FFI-200s
18,389248318,3341556922194703232,thor,7,98,SPOC-120,TIC-389248318-98-SPOC-120
19,365637508,3237973752806799360,thor,3,98,SPOC-120,TIC-365637508-98-SPOC-120
20,365692367,3334165249117507968,thor,3,98,SPOC-120,TIC-365692367-98-SPOC-120
21,365744968,3337724677494561792,thor,3,98,SPOC-120,TIC-365744968-98-SPOC-120
22,365747298,3238063569162793472,thor,3,98,FFI-200s,TIC-365747298-98-FFI-200s
23,302417241,,thor,7,98,FFI-200s,TIC-302417241-98-FFI-200s
24,302417238,3389908598860532224,thor,7,98,FFI-200s,TIC-302417238-98-FFI-200s
25,365782379,3238015740407127936,thor,3,98,SPOC-120,TIC-365782379-98-SPOC-120
26,264679930,3221986647580887296,thor,3,98,FFI-200s,TIC-264679930-98-FFI-200s
27,138901588,3237712515716135936,thor,3,98,SPOC-120,TIC-138901588-98-SPOC-120
28,50745567,3216729878197029120,thor,3,98,FFI-200s,TIC-50745567-98-FFI-200s
29,52583022,3341238918520502912,Thor,7,98,SPOC-120,TIC-52583022-98-SPOC-120
30,52373764,3341625087618092672,thor,7,98,SPOC-120,TIC-52373764-98-SPOC-120
31,50745533,3216753556349327232,thor,3,98,FFI-200s,TIC-50745533-98-FFI-200s
32,436103626,3339935348702249472,thor,4,98,FFI-200s,TIC-436103626-98-FFI-200s
3,327549481,5855642348500099072,epsc,7,99,FFI-200s,TIC-327549481-99-FFI-200s
33,152176559,5396105586807802880,twa,5,99,SPOC-120,TIC-152176559-99-SPOC-120
36,29847084,5400050222210919680,twa,7,99,SPOC-120,TIC-29847084-99-SPOC-120
43,272349442,5355751581627180288,twa,8,99,FFI-200s,TIC-272349442-99-FFI-200s
48,404012623,6128493718050020096,twa,7,99,FFI-200s,TIC-404012623-99-FFI-200s
49,404012628,6128493752409759744,twa,7,99,SPOC-120,TIC-404012628-99-SPOC-120
50,91474691,5348165127505382400,twa,7,99,FFI-200s,TIC-91474691-99-FFI-200s
51,72564426,6132146982868270976,twa,6,99,SPOC-120,TIC-72564426-99-SPOC-120
52,54147487,5444751795151480320,twa,6,99,FFI-200s,TIC-54147487-99-FFI-200s
53,389253973,5378040370245563008,twa,7,99,SPOC-120,TIC-389253973-99-SPOC-120
55,71029363,,twa,8,99,SPOC-120,TIC-71029363-99-SPOC-120
58,102462453,5414158429569765632,twa,6,99,SPOC-120,TIC-102462453-99-SPOC-120
59,151764983,,twa,7,99,FFI-200s,TIC-151764983-99-FFI-200s
2,360558208,5838713408461840256,epsc,7,100,FFI-200s,TIC-360558208-100-FFI-200s
3,327549481,5855642348500099072,epsc,7,100,FFI-200s,TIC-327549481-100-FFI-200s
34,429152614,3485098646237003136,twa,7,100,FFI-200s,TIC-429152614-100-FFI-200s
35,57513388,5398663566249861120,twa,6,100,FFI-200s,TIC-57513388-100-FFI-200s
36,29847084,5400050222210919680,twa,7,100,FFI-200s,TIC-29847084-100-FFI-200s
37,23325655,5452498541764280832,twa,5,100,FFI-200s,TIC-23325655-100-FFI-200s
38,20414865,3532218595001808768,twa,5,100,FFI-200s,TIC-20414865-100-FFI-200s
39,429152610,3485098646237003392,twa,7,100,FFI-200s,TIC-429152610-100-FFI-200s
41,144221008,6147117722735170176,twa,4,100,FFI-200s,TIC-144221008-100-FFI-200s
42,142391477,3466308095597260032,twa,6,100,FFI-200s,TIC-142391477-100-FFI-200s
