pop_id,lcname,complex_status
187,TIC-353752577-44-SPOC-120,Complex
187,TIC-353752577-70-FFI-200s,Complex
187,TIC-353752577-71-FFI-200s,Not Complex
188,EPIC-247791556-13-EVEREST-1800,Complex
188,EPIC-247791556-13-K2SFF-1800,Complex
188,TIC-268397898-43-SPOC-120,Complex
188,TIC-268397898-44-SPOC-120,Not Complex
188,TIC-268397898-70-FFI-200s,Complex
188,TIC-268397898-71-FFI-200s,Complex
189,EPIC-247031423-13-EVEREST-1800,Complex
189,EPIC-247031423-13-K2SFF-1800,Double Dip
189,TIC-61259674-43-SPOC-120,Not Complex
189,TIC-61259674-44-SPOC-120,Not Complex
189,TIC-61259674-70-SPOC-120,Not Complex
189,TIC-61259674-71-SPOC-120,Not Complex
19,EPIC-204918279-2-EVEREST-1800,Complex
19,EPIC-204918279-2-K2SFF-1800,Complex
190,EPIC-247591948-13-EVEREST-1800,Double Dip
190,EPIC-247591948-13-K2SFF-1800,Complex
190,TIC-118521714-43-FFI-10min,Complex
190,TIC-118521714-44-FFI-10min,Complex
190,TIC-118521714-70-FFI-200s,Not Complex
190,TIC-118521714-71-FFI-200s,Not Complex
191,EPIC-247592103-13-EVEREST-1800,Double Dip
191,EPIC-247592103-13-K2SFF-1800,Complex
191,TIC-118521713-43-FFI-10min,Complex
191,TIC-118521713-44-FFI-10min,Complex
191,TIC-118521713-70-FFI-200s,Not Complex
191,TIC-118521713-71-FFI-200s,Not Complex
192,EPIC-210554781-13-EVEREST-1800,Double Dip
192,EPIC-210554781-13-K2SFF-1800,Double Dip
192,TIC-245792696-43-FFI-10min,Not Complex
192,TIC-245792696-44-FFI-10min,Double Dip
192,TIC-245792696-70-FFI-200s,Not Complex
192,TIC-245792696-71-FFI-200s,Not Complex
193,EPIC-247888948-13-EVEREST-1800,Double Dip
193,EPIC-247888948-13-K2SFF-1800,Complex
193,TIC-268510346-43-SPOC-120,Not Complex
193,TIC-268510346-44-SPOC-120,Not Complex
193,TIC-268510346-70-FFI-200s,Not Complex
193,TIC-268510346-71-FFI-200s,Not Complex
194,EPIC-246932950-13-EVEREST-1800,Complex
